backbone,benchmark,variant,scope,weighted_f1,weighted_f1_std,n_samples,loc,joint,macro_f1
gpt-oss-20b,mast,edge,temp0.7_sample1,0.1991,,,,,0.1419
gpt-oss-20b,mast,edge,temp0.7_sample2,0.2217,,,,,0.1563
gpt-oss-20b,mast,edge,temp0.7_sample3,0.2287,,,,,0.1594
gpt-oss-20b,mast,edge,temp0.7_mean,0.2165,0.015469970911414149,3,,,
gemma-3-27b,trail-GAIA,baseline,temp0.7_sample1,0.17960807318453093,,,0.03760683760683761,0.0059829059829059825,
gemma-3-27b,trail-SWE,baseline,temp0.7_sample1,0.14368101309146916,,,0.009216589861751152,0.0,
gemma-3-27b,trail-GAIA,baseline,temp0.7_sample2,0.18108216620700407,,,0.03803418803418804,0.011396011396011395,
gemma-3-27b,trail-SWE,baseline,temp0.7_sample2,0.11301720101530349,,,0.009984639016897081,0.0,
gemma-3-27b,trail-GAIA,baseline,temp0.7_sample3,0.17038652964754905,,,0.016239316239316237,0.0,
gemma-3-27b,trail-SWE,baseline,temp0.7_sample3,0.09154920694983129,,,0.019969278033794162,0.008064516129032258,
gemma-3-27b,trail-GAIA,baseline,temp0.7_mean,0.17702558967969467,0.005796643523846465,3,,,
gemma-3-27b,trail-SWE,baseline,temp0.7_mean,0.11608247368553465,0.02620072948038809,3,,,
gemma-3-27b,trail-GAIA,edge,temp0.7_sample1,0.23015019011957802,,,0.0962962962962963,0.01282051282051282,
gemma-3-27b,trail-SWE,edge,temp0.7_sample1,0.19869431643625193,,,0.016129032258064516,0.0,
gemma-3-27b,trail-GAIA,edge,temp0.7_sample2,0.20897811214554007,,,0.09615384615384616,0.0028490028490028487,
gemma-3-27b,trail-SWE,edge,temp0.7_sample2,0.21627802245154862,,,0.009984639016897081,0.0,
gemma-3-27b,trail-GAIA,edge,temp0.7_sample3,0.21384978689463613,,,0.0660968660968661,0.0028490028490028487,
gemma-3-27b,trail-SWE,edge,temp0.7_sample3,0.3003523990241258,,,0.005376344086021505,0.0,
gemma-3-27b,trail-GAIA,edge,temp0.7_mean,0.2176593630532514,0.011088231343000701,3,,,
gemma-3-27b,trail-SWE,edge,temp0.7_mean,0.23844157930397544,0.05433239253082652,3,,,
gemma-3-27b,mast,baseline,temp0.7_sample1,0.1753,,,,,0.1058
gemma-3-27b,mast,baseline,temp0.7_sample2,0.164,,,,,0.1012
gemma-3-27b,mast,baseline,temp0.7_sample3,0.2046,,,,,0.1325
gemma-3-27b,mast,baseline,temp0.7_mean,0.18130000000000002,0.020954474462510385,3,,,
gemma-3-27b,mast,edge,temp0.7_sample1,0.2385,,,,,0.1636
gemma-3-27b,mast,edge,temp0.7_sample2,0.23,,,,,0.1539
gemma-3-27b,mast,edge,temp0.7_sample3,0.2702,,,,,0.1859
gemma-3-27b,mast,edge,temp0.7_mean,0.24623333333333333,0.021186395005600486,3,,,
qwenlong-32b,trail-GAIA,baseline,temp0.7_sample1,0.12478736117486013,,,0.057692307692307696,0.01695156695156695,
qwenlong-32b,trail-SWE,baseline,temp0.7_sample1,0.029477196885428252,,,0.0,0.0,
qwenlong-32b,trail-GAIA,baseline,temp0.7_sample2,0.24236796641173813,,,0.1299145299145299,0.03717948717948718,
qwenlong-32b,trail-SWE,baseline,temp0.7_sample2,0.06887613221039249,,,0.0,0.0,
qwenlong-32b,trail-GAIA,baseline,temp0.7_sample3,0.14499380961389047,,,0.06680911680911682,0.02150997150997151,
qwenlong-32b,trail-SWE,baseline,temp0.7_sample3,0.04247311827956989,,,0.0,0.0,
qwenlong-32b,trail-GAIA,baseline,temp0.7_mean,0.17071637906682957,0.06286921040074858,3,,,
qwenlong-32b,trail-SWE,baseline,temp0.7_mean,0.046942149125130214,0.02007606046287732,3,,,
qwenlong-32b,trail-GAIA,edge,temp0.7_sample1,0.2854046161431183,,,0.1594017094017094,0.036202686202686206,
qwenlong-32b,trail-SWE,edge,temp0.7_sample1,0.22020560085076213,,,0.0,0.0,
qwenlong-32b,trail-GAIA,edge,temp0.7_sample2,0.2693949332907041,,,0.24387464387464386,0.08321123321123321,
qwenlong-32b,trail-SWE,edge,temp0.7_sample2,0.07509955575122068,,,0.015360983102918587,0.0,
qwenlong-32b,trail-GAIA,edge,temp0.7_sample3,0.2785521238282927,,,0.15056980056980057,0.032478632478632474,
qwenlong-32b,trail-SWE,edge,temp0.7_sample3,0.15395275131600517,,,0.005376344086021505,0.0,
qwenlong-32b,trail-GAIA,edge,temp0.7_mean,0.27778389108737167,0.008032441871366935,3,,,
qwenlong-32b,trail-SWE,edge,temp0.7_mean,0.14975263597266267,0.07264414503441123,3,,,
qwenlong-32b,mast,baseline,temp0.7_sample1,0.1381,,,,,0.0973
qwenlong-32b,mast,baseline,temp0.7_sample2,0.1414,,,,,0.1036
qwenlong-32b,mast,baseline,temp0.7_sample3,0.131,,,,,0.097
qwenlong-32b,mast,baseline,temp0.7_mean,0.13683333333333333,0.005314445722117528,3,,,
qwenlong-32b,mast,edge,temp0.7_sample1,0.1736,,,,,0.1294
qwenlong-32b,mast,edge,temp0.7_sample2,0.1595,,,,,0.1184
qwenlong-32b,mast,edge,temp0.7_sample3,0.1702,,,,,0.1369
qwenlong-32b,mast,edge,temp0.7_mean,0.16776666666666668,0.007358215363342752,3,,,
